"Group.1","x","timeWorked","cumTimeWorked","cumTickets","ticket_id"
"136830",2012-05-04,64,1197.35,159,"136830"
"136648",2012-05-08,28,1225.35,160,"136648"
"137042",2012-05-08,0.333333333333333,1225.68333333333,161,"137042"
"136949",2012-05-09,2,1227.68333333333,162,"136949"
"137078",2012-05-09,1,1228.68333333333,163,"137078"
"137119",2012-05-09,0.25,1228.93333333333,164,"137119"
"137183",2012-05-10,18,1246.93333333333,165,"137183"
"137336",2012-05-14,2,1248.93333333333,166,"137336"
"136630",2012-05-17,1.5,1250.43333333333,167,"136630"
"137458",2012-05-17,8,1258.43333333333,168,"137458"
"137548",2012-05-17,16.25,1274.68333333333,169,"137548"
"136034",2012-05-18,18.6666666666667,1293.35,170,"136034"
"137494",2012-05-22,0.75,1294.1,171,"137494"
"137680",2012-05-23,4,1298.1,172,"137680"
"137786",2012-05-23,0.333333333333333,1298.43333333333,173,"137786"
"137763",2012-05-24,1,1299.43333333333,174,"137763"
"137834",2012-05-25,5,1304.43333333333,175,"137834"
"137870",2012-05-25,32,1336.43333333333,176,"137870"
"137883",2012-05-25,5.5,1341.93333333333,177,"137883"
"137833",2012-05-29,2,1343.93333333333,178,"137833"
"138067",2012-05-29,0.5,1344.43333333333,179,"138067"
"137949",2012-05-30,0.25,1344.68333333333,180,"137949"
"138024",2012-05-30,7.5,1352.18333333333,181,"138024"
"137405",2012-05-31,16.5,1368.68333333333,182,"137405"
"138225",2012-05-31,0.5,1369.18333333333,183,"138225"
"138269",2012-06-01,58.3333333333333,1427.51666666667,184,"138269"
"138270",2012-06-04,1.5,1429.01666666667,185,"138270"
"138295",2012-06-04,1.16666666666667,1430.18333333333,186,"138295"
"138351",2012-06-04,0.166666666666667,1430.35,187,"138351"
"137595",2012-06-06,0.25,1430.6,188,"137595"
"138103",2012-06-06,4,1434.6,189,"138103"
"138169",2012-06-06,23.6666666666667,1458.26666666667,190,"138169"
"138459",2012-06-11,24,1482.26666666667,191,"138459"
"138752",2012-06-11,0.025,1482.29166666667,192,"138752"
"138944",2012-06-14,1,1483.29166666667,193,"138944"
"138370",2012-06-15,6,1489.29166666667,194,"138370"
"138926",2012-06-15,7,1496.29166666667,195,"138926"
"139210",2012-06-19,0.333333333333333,1496.625,196,"139210"
"139297",2012-06-20,0.666666666666667,1497.29166666667,197,"139297"
"138935",2012-06-21,2,1499.29166666667,198,"138935"
