Timestamp	Your Harvard status/appointment	Your primary affiliated school at Harvard	Your Harvard Department/Unit/Center/Program	Pick the item you are requesting access to
11/28/2018 21:29:27	Graduate student: Masters	FAS Division of Continuing Education (DCE)	International Relations 	ArcGIS Enterprise
12/4/2018 11:39:45	Staff	FAS Social Science Division	Opportunity Insights	ArcGIS Online Credit
12/4/2018 16:21:17	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning / Design	Esri Business Analyst Desktop Data
12/11/2018 2:27:34	Graduate student: Masters	Harvard School of Public Health (HSPH)	Environmental Health	Esri Business Analyst Desktop Data
12/12/2018 17:45:19	Research fellow	Harvard Kennedy School of Government (HKS)	Government Performance Lab, Taubman Center	Google Map APIs Premium
12/15/2018 22:02:56	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Masters in Design Engineering	Esri Business Analyst Desktop Data
12/19/2018 19:08:04	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	MPP	Airbus Image
12/19/2018 19:28:23	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology	ArcGIS Online Credit
1/4/2019 14:18:04	Post doctoral research associate	Harvard School of Public Health (HSPH)	Global Health and Population	ArcGIS Enterprise
1/6/2019 12:09:34	Graduate student: Masters	Harvard School of Public Health (HSPH)	Epidemiology	Esri Training Courses (Virtual Campus)
1/8/2019 13:50:19	Graduate student: Masters	Harvard School of Public Health (HSPH)	Environmental Health	Esri Community Analyst Desktop Data
1/8/2019 14:13:20	Staff	Harvard Business School (HBS)	Knowledge and Library Services	Google Map APIs Premium
1/16/2019 16:43:51	Staff	HUIT, Libraries, UPO, University Centers, Programs, etc.	Harvard University Office of Institutional Research	Google Map APIs Premium
1/23/2019 8:32:14	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Department of Architecture	ArcGIS Enterprise
1/23/2019 10:25:50	Faculty	Harvard Law School (HLS)	Empirical Research Department	Esri Training Courses (Virtual Campus)
2/1/2019 13:30:03	Faculty	Harvard Medical School (HMS)	Health Care Policy	Google Map APIs Premium
2/11/2019 17:17:44	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning and Design	Esri Business Analyst Online
3/5/2019 15:49:14	Faculty	Harvard Kennedy School of Government (HKS)	HKS	Esri Business Analyst Desktop Data
3/6/2019 15:56:08	Staff	FAS Division of Continuing Education (DCE)	Harvard Extension School	Esri Training Courses (Virtual Campus)
3/24/2019 15:13:16	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability	ArcGIS Online Credit
4/10/2019 17:40:51	Other Affliate	Harvard College	FYE	Esri Community Analyst Online
4/10/2019 17:42:08	Other Affliate	Harvard College	FYE	Esri Business Analyst Online
