Transaction Created	Transaction Time Worked	Ticket ID	Queue Name	Ticket Requestor	Ticket Owner	Ticket Subject	Ticket Parents IDs	Ticket Children IDs	Request Type	School	Department/Concentration	Status	Sponsored?	Reason for Lab Access:	Lab Discovery	Audio & Video	Power Adapters	Input Devices	Cables & Adapters	Laptops	Misc	Year	month	Year-month
9/2/22 17:46									Remote Access	DCE	Other	Other	No	GIS Programs	Staff Member							2022	09	2022-9
9/2/22 17:46									Remote Access	DCE	Other	Other	No	GIS Programs	Staff Member							2022	09	2022-9
9/2/22 17:46									Remote Access	DCE	Other	Other	No	GIS Programs	Staff Member							2022	09	2022-9
9/2/22 17:46									Remote Access	DCE	Other	Other	No	GIS Programs	Staff Member							2022	09	2022-9
9/2/22 17:46									Remote Access	DCE	Other	Other	No	GIS Programs	Staff Member							2022	09	2022-9
9/2/22 17:46									Remote Access	DCE	Other	Other	No	GIS Programs	Staff Member							2022	09	2022-9
9/22/22 15:35									Remote Access	DCE	Other	Other	No	GIS Programs	Staff Member							2022	09	2022-9
9/22/22 15:36									Remote Access	FAS	Environmental Health;Public Policy	Undergraduate Student	No	GIS Programs	Mentor							2022	09	2022-9
9/22/22 15:36									Remote Access	FAS	Other	Undergraduate Student	No	Statistical Programs	Other							2022	09	2022-9
9/22/22 15:36									Remote Access	HKS;MIT	Other	Affiliate	No	Statistical Programs	Staff Member							2022	09	2022-9
9/22/22 15:37									Remote Access	HMS	Medicine	Research Fellow	No	GIS Programs	Staff Member							2022	09	2022-9
9/22/22 15:37									Remote Access	HKS	Public Policy	Graduate Student: Masters	No	Statistical Programs	Staff Member							2022	09	2022-9
9/22/22 13:19									Lab Access	GSD	Landscape Architecture	Graduate Student: Masters	No	Powerful Computers	Friends							2022	09	2022-9
9/22/22 14:32									Lab Access	GSD	Landscape Architecture	Graduate Student: Masters	No	Powerful Computers	Friends							2022	09	2022-9
9/22/22 17:34									Lab Access	GSD	Landscape Architecture	Graduate Student: Masters	No	Powerful Computers	Friends							2022	09	2022-9
9/22/22 17:34									Lab Access	GSD	Landscape Architecture	Graduate Student: Masters	No	Powerful Computers	Friends							2022	09	2022-9
9/22/22 17:34									Lab Access	GSD	Landscape Architecture	Graduate Student: Masters	No	Powerful Computers	Friends							2022	09	2022-9
9/22/22 17:34									Lab Access	GSD	Landscape Architecture	Graduate Student: Masters	No	Powerful Computers	Friends							2022	09	2022-9
9/22/22 17:34									Lab Access	GSD	Landscape Architecture	Graduate Student: Masters	No	Powerful Computers	Friends							2022	09	2022-9
9/22/22 17:34									Lab Access	GSD	Landscape Architecture	Graduate Student: Masters	No	Powerful Computers	Friends							2022	09	2022-9
9/22/22 17:34									Lab Access	GSD	Landscape Architecture	Graduate Student: Masters	No	Powerful Computers	Friends							2022	09	2022-9
9/22/22 17:34									Lab Access	GSD	Landscape Architecture	Graduate Student: Masters	No	Powerful Computers	Friends							2022	09	2022-9
9/22/22 18:33									Lab Access	FAS	Government	Undergraduate Student	No	Place to Work;Powerful Computers	Walk In							2022	09	2022-9
9/22/22 19:08									Lab Access	FAS	Government	Undergraduate Student	No	Place to Work;Powerful Computers	Walk In							2022	09	2022-9
9/22/22 19:08									Lab Access	FAS	Government	Undergraduate Student	No	Place to Work;Powerful Computers	Walk In							2022	09	2022-9
9/22/22 19:08									Lab Access	FAS	Government	Undergraduate Student	No	Place to Work;Powerful Computers	Walk In							2022	09	2022-9
9/22/22 19:08									Lab Access	FAS	Government	Undergraduate Student	No	Place to Work;Powerful Computers	Walk In							2022	09	2022-9
9/22/22 19:08									Lab Access	FAS	Government	Undergraduate Student	No	Place to Work;Powerful Computers	Walk In							2022	09	2022-9
9/22/22 19:08									Lab Access	FAS	Government	Undergraduate Student	No	Place to Work;Powerful Computers	Walk In							2022	09	2022-9
9/22/22 19:08									Lab Access	FAS	Government	Undergraduate Student	No	Place to Work;Powerful Computers	Walk In							2022	09	2022-9
9/22/22 19:08									Lab Access	FAS	Government	Undergraduate Student	No	Place to Work;Powerful Computers	Walk In							2022	09	2022-9
9/22/22 19:09									Lab Access	FAS	Government	Undergraduate Student	No	Place to Work;Powerful Computers	Walk In							2022	09	2022-9
9/22/22 19:09									Lab Access	FAS	Government	Undergraduate Student	No	Place to Work;Powerful Computers	Walk In							2022	09	2022-9
9/22/22 19:09									Lab Access	FAS	Government	Undergraduate Student	No	Place to Work;Powerful Computers	Walk In							2022	09	2022-9
9/22/22 19:09									Lab Access	FAS	Government	Undergraduate Student	No	Place to Work;Powerful Computers	Walk In							2022	09	2022-9
9/22/22 19:09									Lab Access	FAS	Government	Undergraduate Student	No	Place to Work;Powerful Computers	Walk In							2022	09	2022-9
9/22/22 19:09									Lab Access	FAS	Government	Undergraduate Student	No	Place to Work;Powerful Computers	Walk In							2022	09	2022-9
9/16/22 19:45									Software Request													2022	09	2022-9
9/22/22 9:15									Software Request													2022	09	2022-9
9/22/22 9:15									Software Request													2022	09	2022-9
9/23/22 21:10									Software Request													2022	09	2022-9
9/15/22 15:15									Management Issue													2022	09	2022-9
9/15/22 15:15									Management Issue													2022	09	2022-9
9/15/22 15:15									Management Issue													2022	09	2022-9
9/15/22 15:15									Management Issue													2022	09	2022-9
9/23/22 21:10									Management Issue													2022	09	2022-9
9/14/22 16:12									Lab Access	FAS	Government	Undergraduate Student	No	Statistical Programs	Faculty							2022	09	2022-9
9/14/22 16:21									Lab Access	FAS	Government	Undergraduate Student	No	Statistical Programs	Faculty							2022	09	2022-9
9/14/22 16:22									Lab Access	FAS	Government	Undergraduate Student	No	Statistical Programs	Faculty							2022	09	2022-9
9/14/22 17:02									Lab Access	FAS	Government	Undergraduate Student	No	Statistical Programs	Faculty							2022	09	2022-9
9/14/22 17:07									Lab Access	FAS	Government	Undergraduate Student	No	Statistical Programs	Faculty							2022	09	2022-9
9/14/22 17:07									Lab Access	FAS	Government	Undergraduate Student	No	Statistical Programs	Faculty							2022	09	2022-9
9/14/22 17:07									Lab Access	FAS	Government	Undergraduate Student	No	Statistical Programs	Faculty							2022	09	2022-9
9/14/22 21:03									Lab Access	FAS	Government	Undergraduate Student	No	Statistical Programs	Faculty							2022	09	2022-9
9/14/22 21:03									Lab Access	FAS	Government	Undergraduate Student	No	Statistical Programs	Faculty							2022	09	2022-9
9/14/22 21:03									Lab Access	FAS	Government	Undergraduate Student	No	Statistical Programs	Faculty							2022	09	2022-9
9/14/22 21:03									Lab Access	FAS	Government	Undergraduate Student	No	Statistical Programs	Faculty							2022	09	2022-9
9/14/22 21:03									Lab Access	FAS	Government	Undergraduate Student	No	Statistical Programs	Faculty							2022	09	2022-9
9/14/22 21:03									Lab Access	FAS	Government	Undergraduate Student	No	Statistical Programs	Faculty							2022	09	2022-9
9/14/22 21:03									Lab Access	FAS	Government	Undergraduate Student	No	Statistical Programs	Faculty							2022	09	2022-9
9/14/22 21:03									Lab Access	FAS	Government	Undergraduate Student	No	Statistical Programs	Faculty							2022	09	2022-9
9/25/22 20:32									Lab Access	FAS	Government	Undergraduate Student	No	Statistical Programs	Faculty							2022	09	2022-9
9/26/22 15:04									Lab Access	FAS	Government	Undergraduate Student	No	Statistical Programs	Faculty							2022	09	2022-9
9/24/22 16:01									Lab Access	FAS	Government	Graduate Student: Doctorate	No	Statistical Programs	Web Search							2022	09	2022-9
9/26/22 20:21									Lab Access	FAS	Government	Graduate Student: Doctorate	No	Statistical Programs	Web Search							2022	09	2022-9
9/26/22 17:54									Lab Access	FAS	Engineering	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/26/22 20:27									Lab Access	FAS	Engineering	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/26/22 20:27									Lab Access	FAS	Engineering	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/26/22 20:27									Lab Access	FAS	Engineering	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/26/22 20:27									Lab Access	FAS	Engineering	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/26/22 20:27									Lab Access	FAS	Engineering	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/26/22 20:27									Lab Access	FAS	Engineering	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/26/22 20:27									Lab Access	FAS	Engineering	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/26/22 20:27									Lab Access	FAS	Engineering	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/26/22 20:27									Lab Access	FAS	Engineering	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/26/22 20:28									Lab Access	FAS	Engineering	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/26/22 20:29									Lab Access	FAS	Engineering	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/26/22 20:29									Lab Access	FAS	Engineering	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/26/22 20:29									Lab Access	FAS	Engineering	Undergraduate Student	No	GIS Programs	Course Instructor							2022	09	2022-9
9/26/22 14:59									Remote Access	GSAS	Education Policy	Graduate Student: Doctorate	No	Statistical Programs	Mentor							2022	09	2022-9
9/26/22 15:00									Remote Access	GSAS	Education Policy	Graduate Student: Doctorate	No	Statistical Programs	Mentor							2022	09	2022-9
9/26/22 15:04									Remote Access	GSAS	Education Policy	Graduate Student: Doctorate	No	Statistical Programs	Mentor							2022	09	2022-9
9/26/22 15:04									Remote Access	GSAS	Education Policy	Graduate Student: Doctorate	No	Statistical Programs	Mentor							2022	09	2022-9
9/26/22 15:11									Remote Access	GSAS	Education Policy	Graduate Student: Doctorate	No	Statistical Programs	Mentor							2022	09	2022-9
9/26/22 15:13									Remote Access	GSAS	Education Policy	Graduate Student: Doctorate	No	Statistical Programs	Mentor							2022	09	2022-9
9/26/22 15:13									Remote Access	GSAS	Education Policy	Graduate Student: Doctorate	No	Statistical Programs	Mentor							2022	09	2022-9
9/26/22 15:18									Remote Access	GSAS	Education Policy	Graduate Student: Doctorate	No	Statistical Programs	Mentor							2022	09	2022-9
9/26/22 16:54									Remote Access	GSAS	Education Policy	Graduate Student: Doctorate	No	Statistical Programs	Mentor							2022	09	2022-9
9/27/22 13:54									Remote Access	GSAS	Education Policy	Graduate Student: Doctorate	No	Statistical Programs	Mentor							2022	09	2022-9
9/27/22 13:54									Remote Access	GSAS	Education Policy	Graduate Student: Doctorate	No	Statistical Programs	Mentor							2022	09	2022-9
9/27/22 13:59									Remote Access	GSAS	Education Policy	Graduate Student: Doctorate	No	Statistical Programs	Mentor							2022	09	2022-9
9/27/22 14:00									Remote Access	GSAS	Education Policy	Graduate Student: Doctorate	No	Statistical Programs	Mentor							2022	09	2022-9
9/27/22 14:00									Remote Access	GSAS	Education Policy	Graduate Student: Doctorate	No	Statistical Programs	Mentor							2022	09	2022-9
9/27/22 14:00									Remote Access	GSAS	Education Policy	Graduate Student: Doctorate	No	Statistical Programs	Mentor							2022	09	2022-9
9/27/22 14:00									Remote Access	GSAS	Education Policy	Graduate Student: Doctorate	No	Statistical Programs	Mentor							2022	09	2022-9
9/27/22 14:07									Remote Access	GSAS	Education Policy	Graduate Student: Doctorate	No	Statistical Programs	Mentor							2022	09	2022-9
9/27/22 14:07									Remote Access	GSAS	Education Policy	Graduate Student: Doctorate	No	Statistical Programs	Mentor							2022	09	2022-9
9/27/22 14:08									Remote Access	GSAS	Education Policy	Graduate Student: Doctorate	No	Statistical Programs	Mentor							2022	09	2022-9
9/27/22 14:08									Remote Access	GSAS	Education Policy	Graduate Student: Doctorate	No	Statistical Programs	Mentor							2022	09	2022-9
9/27/22 15:31									Lab Access	FAS	WCFIA	Visitor	No	Statistical Programs;Powerful Computers	Staff Member							2022	09	2022-9
9/27/22 18:57									Lab Access	FAS	WCFIA	Visitor	No	Statistical Programs;Powerful Computers	Staff Member							2022	09	2022-9
9/27/22 18:57									Lab Access	FAS	WCFIA	Visitor	No	Statistical Programs;Powerful Computers	Staff Member							2022	09	2022-9
9/27/22 18:58									Lab Access	FAS	WCFIA	Visitor	No	Statistical Programs;Powerful Computers	Staff Member							2022	09	2022-9
9/27/22 18:58									Lab Access	FAS	WCFIA	Visitor	No	Statistical Programs;Powerful Computers	Staff Member							2022	09	2022-9
9/27/22 18:58									Lab Access	FAS	WCFIA	Visitor	No	Statistical Programs;Powerful Computers	Staff Member							2022	09	2022-9
9/27/22 18:58									Lab Access	FAS	WCFIA	Visitor	No	Statistical Programs;Powerful Computers	Staff Member							2022	09	2022-9
9/27/22 18:58									Lab Access	FAS	WCFIA	Visitor	No	Statistical Programs;Powerful Computers	Staff Member							2022	09	2022-9
9/27/22 18:58									Lab Access	FAS	WCFIA	Visitor	No	Statistical Programs;Powerful Computers	Staff Member							2022	09	2022-9
9/27/22 18:58									Lab Access	FAS	WCFIA	Visitor	No	Statistical Programs;Powerful Computers	Staff Member							2022	09	2022-9
9/27/22 18:58									Lab Access	FAS	WCFIA	Visitor	No	Statistical Programs;Powerful Computers	Staff Member							2022	09	2022-9
9/27/22 18:59									Lab Access	FAS	WCFIA	Visitor	No	Statistical Programs;Powerful Computers	Staff Member							2022	09	2022-9
9/27/22 18:59									Lab Access	FAS	WCFIA	Visitor	No	Statistical Programs;Powerful Computers	Staff Member							2022	09	2022-9
9/27/22 18:59									Lab Access	FAS	WCFIA	Visitor	No	Statistical Programs;Powerful Computers	Staff Member							2022	09	2022-9
9/27/22 18:59									Lab Access	FAS	WCFIA	Visitor	No	Statistical Programs;Powerful Computers	Staff Member							2022	09	2022-9
9/27/22 17:19									Lab Access	HKS	Government	Visitor	No	Place to Work;Printing	Word of Mouth							2022	09	2022-9
9/27/22 19:00									Lab Access	HKS	Government	Visitor	No	Place to Work;Printing	Word of Mouth							2022	09	2022-9
9/27/22 19:00									Lab Access	HKS	Government	Visitor	No	Place to Work;Printing	Word of Mouth							2022	09	2022-9
9/27/22 19:01									Lab Access	HKS	Government	Visitor	No	Place to Work;Printing	Word of Mouth							2022	09	2022-9
9/27/22 19:01									Lab Access	HKS	Government	Visitor	No	Place to Work;Printing	Word of Mouth							2022	09	2022-9
9/27/22 19:01									Lab Access	HKS	Government	Visitor	No	Place to Work;Printing	Word of Mouth							2022	09	2022-9
9/27/22 19:01									Lab Access	HKS	Government	Visitor	No	Place to Work;Printing	Word of Mouth							2022	09	2022-9
9/27/22 19:01									Lab Access	HKS	Government	Visitor	No	Place to Work;Printing	Word of Mouth							2022	09	2022-9
9/27/22 19:01									Lab Access	HKS	Government	Visitor	No	Place to Work;Printing	Word of Mouth							2022	09	2022-9
9/27/22 19:01									Lab Access	HKS	Government	Visitor	No	Place to Work;Printing	Word of Mouth							2022	09	2022-9
9/27/22 19:01									Lab Access	HKS	Government	Visitor	No	Place to Work;Printing	Word of Mouth							2022	09	2022-9
9/27/22 19:01									Lab Access	HKS	Government	Visitor	No	Place to Work;Printing	Word of Mouth							2022	09	2022-9
9/27/22 19:01									Lab Access	HKS	Government	Visitor	No	Place to Work;Printing	Word of Mouth							2022	09	2022-9
9/27/22 19:01									Lab Access	HKS	Government	Visitor	No	Place to Work;Printing	Word of Mouth							2022	09	2022-9
9/27/22 19:01									Lab Access	HKS	Government	Visitor	No	Place to Work;Printing	Word of Mouth							2022	09	2022-9
9/9/22 16:58									Software Request													2022	09	2022-9
9/9/22 17:46									Software Request													2022	09	2022-9
9/9/22 17:46									Software Request													2022	09	2022-9
9/9/22 17:50									Software Request													2022	09	2022-9
9/9/22 19:08									Software Request													2022	09	2022-9
9/21/22 22:08									Software Request													2022	09	2022-9
9/27/22 20:49									Software Request													2022	09	2022-9
