Timestamp	Name of the training workshop	Date (or start date) of the training workshop	Training Duration	Training Pace	Technical Depth	Content Relevance	Course Material Organization	Balance of Lecture, Demo and Exercise	Presentation Effectiveness	Engagement with Students	Question & Problem Resolution	Condition of the classroom and equipment
2/2/2021 9:47:56	Basic Introduction to GIS	1/29/2021	3	5	3	5	3	4	2	3	3	4
2/2/2021 10:49:33	Basic Introduction to GIS	1/29/2021	3	3	2	4	5	5	5	4	4	5
4/26/2021 14:57:23	Cartography Workshop	4/23/2021	3	3	2	5	5	3	4	5	5	5
6/11/2021 10:03:38	GIS Institute	6/1/2021	3	3	3	4	5	4	4	5	5	5
6/11/2021 10:09:10	GIS Institute	6/1/2021	3	3	3	5	5	5	5	5	5	5
6/11/2021 10:14:46	GIS Institute	6/1/2021	2	3	3	5	5	5	5	5	5	5
6/11/2021 10:17:31	GIS Institute	6/1/2021	3	3	3	4	4	5	5	5	5	5
6/11/2021 11:08:04	GIS Institute	6/1/2021	3	3	4	5	5	5	5	5	5	5
6/11/2021 11:18:14	GIS Institute	6/1/2021	3	3	4	5	5	5	5	5	5	5
6/11/2021 12:05:40	GIS Institute	6/1/2021	3	3	3	4	5	5	5	5	5	4
6/11/2021 14:47:34	GIS Institute	6/1/2021	4	4	4	5	5	5	5	5	4	5
6/11/2021 15:18:48	GIS Institute	6/1/2021	3	4	3	5	5	5	4	5	5	5
6/14/2021 11:56:23	GIS Institute	6/1/2021	3	3	3	4	3	5	3	4	3	4
9/8/2021 10:22:46	Basic Introduction to GIS	9/3/2021	3	2	3	4	3	3	3	5	4	5
9/8/2021 10:23:56	Basic Introduction to GIS	9/3/2021	3	2	2	5	3	3	3	3	3	3
9/8/2021 12:29:33	Basic Introduction to GIS	9/3/2021	3	3	3	5	5	5	5	5	5	5
9/8/2021 14:07:49	Basic Introduction to GIS	9/3/2021	3	3	3	5	4	5	5	5	5	5
9/13/2021 12:59:43	Basic Introduction to GIS	9/3/2021	3	3	3	5	5	5	5	5	5	5
9/15/2021 1:50:18	Basic Introduction to GIS	9/3/2021	4	3	2	5	5	5	5	5	5	5
12/15/2021 13:36:55	GIS for Humanities and Social Sciences	5/10/2021	3	4	3	5	5	5	5	5	5	5
12/15/2021 14:11:50	GIS for Humanities and Social Sciences	12/10/2021	3	2	3	4	5	5	5	5	5	5
12/15/2021 15:38:55	GIS for Humanities and Social Sciences	12/10/2021	3	3	3	5	5	5	5	5	5	5
12/15/2021 21:44:17	GIS for Humanities and Social Sciences	12/10/2021	3	3	3	5	5	5	5	5	5	5
12/20/2021 12:06:23	GIS for Humanities and Social Sciences	12/10/2021	3	4	3	5	5	4	4	5	5	5
1/14/2022 11:45:26	GIS Institute	1/4/2022	3	3	2	3	2	1	2	3	3	2
1/14/2022 12:30:03	GIS Institute	1/4/2022	4	2	2	4	4	4	4	5	3	3
1/14/2022 13:53:33	GIS Institute	1/4/2022	3	3	3	5	5	5	5	5	5	5
1/14/2022 13:54:46	GIS Institute	1/4/2022	2	3	3	4	4	4	4	5	4	3
1/14/2022 13:57:48	GIS Institute	1/4/2022	3	4	4	4	3	3	4	5	5	3
1/14/2022 14:02:09	GIS Institute	1/4/2022	3	3	3	5	4	4	4	4	5	5
1/14/2022 18:44:47	GIS Institute	1/4/2022	3	3	3	4	4	4	5	5	5	3
1/16/2022 16:19:07	GIS Institute	1/4/2022	2	3	4	5	5	5	5	5	5	5
